,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
0,BTC,8/1/2017,bitcoin,2746.99,0.049036,0.05296,0.90976,0.03728
1,ETH,8/1/2017,ethereum,225.9,0.09674,0.05428,0.93664,0.00908
2,XRP,8/1/2017,ripple,0.1776,0.098276,0.04932,0.94104,0.00964
3,BCH,8/1/2017,bitcoin cash,439.27,0.128152,0.0812,0.88972,0.02912
4,ADA,8/1/2017,cardano,0,0.032152,0.01372,0.98628,0
5,LTC,8/1/2017,litecoin,43.16,0.167532,0.08784,0.895,0.01712
6,XLM,8/1/2017,stellar,0.01799,0.02338,0.07256,0.87276,0.05464
7,NEO,8/1/2017,neo,7.83,0.03566,0.05488,0.92872,0.0164
8,EOS,8/1/2017,eos,1.77,0.027624,0.0214,0.96676,0.01184
9,XEM,8/1/2017,nem,0.1791,-0.01184,0,0.99604,0.00396
10,BTC,8/2/2017,bitcoin,2720.53,0.07748,0.07196,0.90244,0.0256
11,ETH,8/2/2017,ethereum,218.12,0.131612,0.09808,0.87152,0.03044
12,XRP,8/2/2017,ripple,0.1709,0.112288,0.07224,0.91056,0.0172
13,BCH,8/2/2017,bitcoin cash,551.59,0.097208,0.05848,0.92376,0.01776
14,ADA,8/2/2017,cardano,0,0.028404,0.12404,0.82492,0.05108
15,LTC,8/2/2017,litecoin,41.92,-0.008332,0.0334,0.93324,0.03332
16,XLM,8/2/2017,stellar,0.0184,0.276056,0.1518,0.82256,0.02564
17,NEO,8/2/2017,neo,8.21,0.054476,0.04664,0.85792,0.01544
18,EOS,8/2/2017,eos,1.76,0.137088,0.08008,0.90836,0.01156
19,XEM,8/2/2017,nem,0.2149,-0.0287,0,0.98548,0.01452
20,BTC,8/3/2017,bitcoin,2809.99,-0.090728,0.01624,0.91584,0.06792
21,ETH,8/3/2017,ethereum,224.39,0.023904,0.01896,0.97048,0.01056
22,XRP,8/3/2017,ripple,0.1748,-0.017268,0.00412,0.98152,0.01432
23,BCH,8/3/2017,bitcoin cash,405.92,-0.063364,0.03324,0.90844,0.05832
24,ADA,8/3/2017,cardano,0,0.082956,0.06268,0.93732,0
25,LTC,8/3/2017,litecoin,42.75,0.014628,0.02944,0.94276,0.0278
26,XLM,8/3/2017,stellar,0.01889,0.15726,0.13052,0.84164,0.02784
27,NEO,8/3/2017,neo,11.02,0.021644,0.00848,0.99152,0
28,EOS,8/3/2017,eos,1.78,-0.035612,0,0.97708,0.02292
29,XEM,8/3/2017,nem,0.22,-0.084732,0.00476,0.96816,0.02708
30,BTC,8/4/2017,bitcoin,2878.49,0.109868,0.078,0.89984,0.02208
31,ETH,8/4/2017,ethereum,220.6,0.11434,0.0484,0.9516,0
32,XRP,8/4/2017,ripple,0.1744,0.024368,0.03192,0.9334,0.03468
33,BCH,8/4/2017,bitcoin cash,253.13,0.200212,0.1164,0.85764,0.02596
34,ADA,8/4/2017,cardano,0,0.070304,0.06304,0.9274,0.00956
35,LTC,8/4/2017,litecoin,43.31,0.060936,0.0504,0.92836,0.02124
36,XLM,8/4/2017,stellar,0.02245,0.081624,0.10448,0.86332,0.0322
37,NEO,8/4/2017,neo,10.37,0,0,0.96,0
38,EOS,8/4/2017,eos,1.78,0.260048,0.11552,0.86484,0.01964
39,XEM,8/4/2017,nem,0.2236,-0.028816,0.00692,0.979,0.01408
40,BTC,8/5/2017,bitcoin,3262.8,0.023608,0.05592,0.90424,0.03984
41,ETH,8/5/2017,ethereum,253.09,0.080332,0.03164,0.95624,0.01212
42,XRP,8/5/2017,ripple,0.1848,0.109392,0.06592,0.9198,0.01424
43,BCH,8/5/2017,bitcoin cash,220.3,-0.01908,0.04132,0.89504,0.06364
44,ADA,8/5/2017,cardano,0,-0.005132,0.02512,0.92956,0.04532
45,LTC,8/5/2017,litecoin,46.24,0.17256,0.08184,0.90368,0.01444
46,XLM,8/5/2017,stellar,0.02381,0.222756,0.16476,0.81076,0.02448
47,NEO,8/5/2017,neo,14.12,-0.038992,0.00724,0.9652,0.02756
48,EOS,8/5/2017,eos,1.86,-0.005888,0.0168,0.96292,0.02024
49,XEM,8/5/2017,nem,0.2296,-0.011416,0.01228,0.96608,0.02164
50,BTC,8/6/2017,bitcoin,3232.03,0.05192,0.0672,0.90024,0.03256
51,ETH,8/6/2017,ethereum,264.56,0.158604,0.09692,0.88136,0.02172
52,XRP,8/6/2017,ripple,0.1802,0.26754,0.12612,0.85736,0.01652
53,BCH,8/6/2017,bitcoin cash,241.87,0.007244,0.07344,0.86724,0.05932
54,ADA,8/6/2017,cardano,0,0.010732,0.02448,0.96492,0.01064
55,LTC,8/6/2017,litecoin,45.56,0.152596,0.07716,0.91772,0.00512
56,XLM,8/6/2017,stellar,0.02283,0.244492,0.13456,0.8474,0.01804
57,NEO,8/6/2017,neo,15.97,0.04112,0.01748,0.97296,0.00956
58,EOS,8/6/2017,eos,1.76,0.024988,0.03384,0.93472,0.03148
59,XEM,8/6/2017,nem,0.2442,-0.015648,0.00452,0.98156,0.01392
60,BTC,8/7/2017,bitcoin,3401.91,0.107156,0.09744,0.87328,0.02928
61,ETH,8/7/2017,ethereum,269.94,0.102476,0.05076,0.94484,0.0044
62,XRP,8/7/2017,ripple,0.1782,0.0958,0.06532,0.91328,0.02144
63,BCH,8/7/2017,bitcoin cash,322.6,-0.0123,0.01792,0.9518,0.03028
64,ADA,8/7/2017,cardano,0,0.00264,0.02116,0.96824,0.01064
65,LTC,8/7/2017,litecoin,46.11,0.21538,0.09972,0.89184,0.00844
66,XLM,8/7/2017,stellar,0.0223,0.119164,0.11216,0.86136,0.02644
67,NEO,8/7/2017,neo,19.49,0.018844,0.02376,0.95068,0.02556
68,EOS,8/7/2017,eos,1.83,0.046652,0.0412,0.95416,0.00464
69,XEM,8/7/2017,nem,0.2802,0.07014,0.04336,0.94892,0.00772
70,BTC,8/8/2017,bitcoin,3429.38,0.033112,0.03156,0.93648,0.03196
71,ETH,8/8/2017,ethereum,296.51,0.144356,0.09776,0.87688,0.0254
72,XRP,8/8/2017,ripple,0.1967,0.068472,0.04036,0.94992,0.00976
73,BCH,8/8/2017,bitcoin cash,343.43,-0.081972,0.05056,0.83148,0.118
74,ADA,8/8/2017,cardano,0,0,0,1,0
75,LTC,8/8/2017,litecoin,49.13,0.138908,0.06804,0.92624,0.00576
76,XLM,8/8/2017,stellar,0.02378,0.333064,0.21468,0.74944,0.03584
77,NEO,8/8/2017,neo,18.25,-0.008092,0.00608,0.98608,0.00784
78,EOS,8/8/2017,eos,1.86,0.032692,0.05732,0.92284,0.01984
79,XEM,8/8/2017,nem,0.2731,-0.058956,0,0.98192,0.01808
80,BTC,8/9/2017,bitcoin,3348.79,-0.027064,0.04176,0.89208,0.06616
81,ETH,8/9/2017,ethereum,295.28,0.322932,0.14644,0.84388,0.00968
82,XRP,8/9/2017,ripple,0.1841,0.060156,0.05912,0.91944,0.02144
83,BCH,8/9/2017,bitcoin cash,301.17,-0.00108,0.02332,0.94336,0.03332
84,ADA,8/9/2017,cardano,0,0.012728,0.00412,0.99588,0
85,LTC,8/9/2017,litecoin,47.78,0.136008,0.0748,0.9252,0
86,XLM,8/9/2017,stellar,0.023,0.146424,0.12292,0.83668,0.04044
87,NEO,8/9/2017,neo,22.6,0.014684,0.03244,0.86608,0.02148
88,EOS,8/9/2017,eos,1.82,0.016708,0.01952,0.96516,0.01532
89,XEM,8/9/2017,nem,0.2786,-0.02368,0,0.99124,0.00876
