,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
0,BTC,10/1/2017,bitcoin,4403.09,0.013948,0.06088,0.90792,0.0312
1,ETH,10/1/2017,ethereum,303.95,0.08126,0.09152,0.85836,0.05012
2,XRP,10/1/2017,ripple,0.2083,0.13514,0.09052,0.88552,0.02396
3,BCH,10/1/2017,bitcoin cash,418.05,0.053384,0.10848,0.8144,0.07716
4,ADA,10/1/2017,cardano,0.02519,0.117148,0.051,0.94424,0.00476
5,LTC,10/1/2017,litecoin,54.8,-0.000536,0.04588,0.925,0.02912
6,XLM,10/1/2017,stellar,0.01387,0.154056,0.09336,0.874,0.0326
7,NEO,10/1/2017,neo,35.72,0.048412,0.02836,0.96036,0.01128
8,EOS,10/1/2017,eos,0.7085,0.044064,0.01268,0.98732,0
9,XEM,10/1/2017,nem,0.244,-0.036836,0,0.97828,0.02172
10,BTC,10/2/2017,bitcoin,4401.32,0.021172,0.0522,0.90692,0.04088
11,ETH,10/2/2017,ethereum,296.81,0.064172,0.04692,0.9272,0.02584
12,XRP,10/2/2017,ripple,0.2031,0.050756,0.03548,0.94592,0.0186
13,BCH,10/2/2017,bitcoin cash,419.68,0.330356,0.19312,0.76488,0.042
14,ADA,10/2/2017,cardano,0.02588,0.065428,0.04444,0.9362,0.01936
15,LTC,10/2/2017,litecoin,53.29,0.09668,0.06372,0.90804,0.02824
16,XLM,10/2/2017,stellar,0.013,0.26078,0.14436,0.83816,0.01748
17,NEO,10/2/2017,neo,36.61,0.002156,0.043,0.86532,0.05168
18,EOS,10/2/2017,eos,0.6549,0.131844,0.10044,0.88464,0.01492
19,XEM,10/2/2017,nem,0.231,0.015564,0.01768,0.97276,0.00956
20,BTC,10/3/2017,bitcoin,4314.18,0.131152,0.10212,0.8538,0.04404
21,ETH,10/3/2017,ethereum,291.81,-0.009816,0.01808,0.96164,0.02028
22,XRP,10/3/2017,ripple,0.2033,0.018772,0.02728,0.92296,0.00976
23,BCH,10/3/2017,bitcoin cash,401.41,0.149816,0.07812,0.89812,0.02384
24,ADA,10/3/2017,cardano,0.02084,0.09806,0.039,0.961,0
25,LTC,10/3/2017,litecoin,52.15,0.147004,0.05656,0.939,0.0044
26,XLM,10/3/2017,stellar,0.01241,0.30932,0.16428,0.82556,0.01016
27,NEO,10/3/2017,neo,33.57,0.024648,0.04132,0.93144,0.02728
28,EOS,10/3/2017,eos,0.6308,0.070852,0.06192,0.91196,0.02612
29,XEM,10/3/2017,nem,0.226,-0.01184,0,0.9954,0.0046
30,BTC,10/4/2017,bitcoin,4218.66,9.60E-05,0.05412,0.89548,0.0504
31,ETH,10/4/2017,ethereum,291.68,0.014132,0.02892,0.95572,0.01536
32,XRP,10/4/2017,ripple,0.2135,0.296016,0.14692,0.84096,0.01212
33,BCH,10/4/2017,bitcoin cash,355.75,0.085396,0.05456,0.91596,0.02948
34,ADA,10/4/2017,cardano,0.02189,0.127168,0.05336,0.94664,0
35,LTC,10/4/2017,litecoin,51.22,0.099424,0.05668,0.9368,0.00652
36,XLM,10/4/2017,stellar,0.01181,0.300072,0.1568,0.81684,0.02636
37,NEO,10/4/2017,neo,31.17,0.09132,0.07296,0.85804,0.029
38,EOS,10/4/2017,eos,0.6008,0.013936,0.04784,0.89676,0.0554
39,XEM,10/4/2017,nem,0.2158,-0.032704,0,0.98808,0.01192
40,BTC,10/5/2017,bitcoin,4321.44,-0.002872,0.05308,0.8944,0.05252
41,ETH,10/5/2017,ethereum,294.99,0.065524,0.06792,0.88868,0.0434
