,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
20,BTC,3/1/2017,bitcoin,1222.66,0.087352,0.08344,0.8836,0.033
21,ETH,3/1/2017,ethereum,17.55,0.064564,0.05916,0.9076,0.03324
22,XRP,3/1/2017,ripple,0.00539,0.14066,0.09356,0.8634,0.043
23,BCH,3/1/2017,bitcoin cash,0,0.064148,0.02744,0.97256,0
24,ADA,3/1/2017,cardano,0,-0.002356,0.043,0.90144,0.05556
25,LTC,3/1/2017,litecoin,3.8,0.091172,0.08256,0.88176,0.03568
26,XLM,3/1/2017,stellar,0.001736,0.140708,0.1524,0.81652,0.03108
27,NEO,3/1/2017,neo,0.138,0.006336,0.02912,0.9434,0.02748
28,EOS,3/1/2017,eos,0,-0.079356,0.04596,0.87168,0.08236
29,XEM,3/1/2017,nem,0.007866,0.011752,0.01392,0.98204,0.00404
30,BTC,3/2/2017,bitcoin,1255.47,0.13578,0.08576,0.88192,0.03228
31,ETH,3/2/2017,ethereum,19.08,0.186476,0.09652,0.88608,0.01744
32,XRP,3/2/2017,ripple,0.00606,-0.065404,0.04012,0.89396,0.06592
33,BCH,3/2/2017,bitcoin cash,0,0.081968,0.044,0.94952,0.00652
34,ADA,3/2/2017,cardano,0,0.009052,0.01288,0.98712,0
35,LTC,3/2/2017,litecoin,3.96,-0.000156,0.0166,0.96332,0.02008
36,XLM,3/2/2017,stellar,0.001736,0.031928,0.0156,0.97276,0.01164
37,NEO,3/2/2017,neo,0.1197,0.011804,0.0974,0.85984,0.04272
38,EOS,3/2/2017,eos,0,0.1193,0.09116,0.87116,0.03768
39,XEM,3/2/2017,nem,0.00872,0.009868,0.01416,0.96648,0.01936
40,BTC,3/3/2017,bitcoin,1283.3,0.19592,0.10048,0.89428,0.00524
41,ETH,3/3/2017,ethereum,19.48,0.12742,0.09012,0.89116,0.01872
42,XRP,3/3/2017,ripple,0.00649,0.106864,0.0712,0.89448,0.03432
43,BCH,3/3/2017,bitcoin cash,0,0.082472,0.03432,0.96568,0
44,ADA,3/3/2017,cardano,0,0.086024,0.06032,0.93188,0.00776
45,LTC,3/3/2017,litecoin,4.02,0.058404,0.0494,0.92768,0.02292
46,XLM,3/3/2017,stellar,0.001761,0.264144,0.14836,0.8278,0.02384
47,NEO,3/3/2017,neo,0.1209,0.015176,0.07104,0.88584,0.04312
48,EOS,3/3/2017,eos,0,0.021532,0.04696,0.89536,0.05768
49,XEM,3/3/2017,nem,0.008947,-0.02544,0,0.97876,0.02124
50,BTC,3/4/2017,bitcoin,1264.32,0.023792,0.06856,0.88036,0.05104
51,ETH,3/4/2017,ethereum,18.61,0.13428,0.09828,0.8786,0.02312
52,XRP,3/4/2017,ripple,0.0062,0.18496,0.09028,0.89292,0.0168
53,BCH,3/4/2017,bitcoin cash,0,0.196584,0.10108,0.88028,0.0186
54,ADA,3/4/2017,cardano,0,0.038332,0.03764,0.92656,0.03576
55,LTC,3/4/2017,litecoin,3.98,-0.00104,0.03636,0.9332,0.03044
56,XLM,3/4/2017,stellar,0.001758,0.188832,0.11444,0.86544,0.02012
57,NEO,3/4/2017,neo,0.1208,0.004932,0.02088,0.95512,0.024
58,EOS,3/4/2017,eos,0,0.1586,0.11824,0.84684,0.03492
59,XEM,3/4/2017,nem,0.009799,0,0,1,0
60,BTC,3/5/2017,bitcoin,1271.22,0.061688,0.0656,0.90444,0.02996
61,ETH,3/5/2017,ethereum,19.22,0.194216,0.08932,0.91068,0
62,XRP,3/5/2017,ripple,0.00604,0.08516,0.073,0.88448,0.04252
63,BCH,3/5/2017,bitcoin cash,0,0.032432,0.05944,0.88984,0.05072
64,ADA,3/5/2017,cardano,0,0.053648,0.05764,0.94236,0
65,LTC,3/5/2017,litecoin,3.97,-0.006368,0.03348,0.93592,0.0306
66,XLM,3/5/2017,stellar,0.001726,0.081156,0.0756,0.88512,0.03928
67,NEO,3/5/2017,neo,0.1223,-0.026048,0.01092,0.96252,0.02656
68,EOS,3/5/2017,eos,0,0.100732,0.12696,0.82956,0.04348
69,XEM,3/5/2017,nem,0.01105,-0.07376,0.02016,0.91272,0.06712
70,BTC,3/6/2017,bitcoin,1277.01,0.01126,0.04512,0.91288,0.042
71,ETH,3/6/2017,ethereum,19.75,0.076568,0.05984,0.92008,0.02008
72,XRP,3/6/2017,ripple,0.00604,0.06984,0.03156,0.96844,0
73,BCH,3/6/2017,bitcoin cash,0,0.13432,0.08952,0.87328,0.0372
74,ADA,3/6/2017,cardano,0,0.041184,0.021,0.9502,0.02876
75,LTC,3/6/2017,litecoin,4.05,0.024548,0.04756,0.91856,0.03388
76,XLM,3/6/2017,stellar,0.001966,0.320324,0.19072,0.78108,0.02824
77,NEO,3/6/2017,neo,0.1226,0.011088,0.06784,0.8562,0.07596
78,EOS,3/6/2017,eos,0,0.051736,0.05108,0.92844,0.02048
79,XEM,3/6/2017,nem,0.01097,0.023692,0.01936,0.96952,0.01112
80,BTC,3/7/2017,bitcoin,1232.69,-0.035752,0.01984,0.94944,0.03072
81,ETH,3/7/2017,ethereum,18.91,0.228828,0.10724,0.89276,0
82,XRP,3/7/2017,ripple,0.00673,0.123532,0.0732,0.90596,0.02088
83,BCH,3/7/2017,bitcoin cash,0,0.12152,0.06008,0.92392,0.016
84,ADA,3/7/2017,cardano,0,0.1511,0.08752,0.90468,0.00776
85,LTC,3/7/2017,litecoin,3.96,-0.036776,0.02748,0.93212,0.0404
86,XLM,3/7/2017,stellar,0.002016,0.258252,0.15032,0.83616,0.01352
87,NEO,3/7/2017,neo,0.122,0.021212,0.04388,0.91488,0.04124
88,EOS,3/7/2017,eos,0,0.070636,0.07076,0.89188,0.03736
89,XEM,3/7/2017,nem,0.01107,-0.058192,0,0.95496,0.04504
90,BTC,3/8/2017,bitcoin,1146.97,0.045756,0.04892,0.9192,0.03192
91,ETH,3/8/2017,ethereum,16.54,0.087212,0.04968,0.93532,0.015
92,XRP,3/8/2017,ripple,0.0065,0.21008,0.09264,0.90204,0.00532
93,BCH,3/8/2017,bitcoin cash,0,-0.048176,0.04632,0.88124,0.07248
94,ADA,3/8/2017,cardano,0,0.048984,0.02232,0.96988,0.00776
95,LTC,3/8/2017,litecoin,3.8,-0.021748,0.03772,0.90828,0.054
96,XLM,3/8/2017,stellar,0.0018,0.182536,0.09824,0.86516,0.0366
97,NEO,3/8/2017,neo,0.115,0.018608,0.03916,0.9368,0.02404
98,EOS,3/8/2017,eos,0,0.183504,0.0902,0.89196,0.01784
99,XEM,3/8/2017,nem,0.009132,-0.01856,0.00344,0.98368,0.01288
100,BTC,3/9/2017,bitcoin,1191.33,0.030376,0.05732,0.88712,0.05556
