,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
0,BTC,1/1/2017,bitcoin,995.44,-0.003664,0.05308,0.89604,0.05092
1,ETH,1/1/2017,ethereum,8.14,0.07296,0.08452,0.8706,0.04488
2,XRP,1/1/2017,ripple,0.0063,0.128944,0.06468,0.887,0.00832
3,BCH,1/1/2017,bitcoin cash,0,0.215108,0.08864,0.90512,0.00624
4,ADA,1/1/2017,cardano,0,0.011396,0.01392,0.96672,0.01936
5,LTC,1/1/2017,litecoin,4.42,0.137948,0.06684,0.92764,0.00552
6,XLM,1/1/2017,stellar,0.002447,0.254092,0.13104,0.8616,0.00736
7,NEO,1/1/2017,neo,0.1381,0.102628,0.07032,0.90312,0.02656
8,EOS,1/1/2017,eos,0,0.091496,0.05136,0.93772,0.01092
9,XEM,1/1/2017,nem,0.003363,0.015224,0.01244,0.97224,0.01532
10,BTC,1/2/2017,bitcoin,1017.05,0.10644,0.10916,0.84228,0.04856
11,ETH,1/2/2017,ethereum,8.33,0.196448,0.12372,0.83644,0.03984
12,XRP,1/2/2017,ripple,0.006276,0.015152,0.06728,0.88048,0.05224
13,BCH,1/2/2017,bitcoin cash,0,-0.129328,0.0058,0.90776,0.08644
14,ADA,1/2/2017,cardano,0,-0.017168,0.04,0.92552,0.03448
15,LTC,1/2/2017,litecoin,4.54,0,0,1,0
16,XLM,1/2/2017,stellar,0.002507,0.203692,0.1624,0.79436,0.04328
17,NEO,1/2/2017,neo,0.1508,0.038952,0.0352,0.9648,0
18,EOS,1/2/2017,eos,0,0.046166667,0.036133333,0.939866667,0.024
19,XEM,1/2/2017,nem,0.003334,0.00732,0.02328,0.96488,0.01184
20,BTC,1/3/2017,bitcoin,1033.3,0.112696,0.0836,0.87796,0.03844
21,ETH,1/3/2017,ethereum,9.59,0.144684,0.0646,0.92972,0.00568
22,XRP,1/3/2017,ripple,0.006411,0.059564,0.04816,0.94252,0.00936
23,BCH,1/3/2017,bitcoin cash,0,-0.089712,0.04464,0.89068,0.06468
24,ADA,1/3/2017,cardano,0,-0.000296,0.02192,0.93316,0.04484
25,LTC,1/3/2017,litecoin,4.51,0.124172,0.0662,0.9338,0
26,XLM,1/3/2017,stellar,0.002566,0.202236,0.10988,0.86256,0.02756
27,NEO,1/3/2017,neo,0.1385,0.062412,0.08188,0.8936,0.02452
28,EOS,1/3/2017,eos,0,-0.010932,0.0086,0.96684,0.02456
29,XEM,1/3/2017,nem,0.003543,0.050248,0.0198,0.9802,0
30,BTC,1/4/2017,bitcoin,1135.41,0.046656,0.0438,0.93732,0.01888
31,ETH,1/4/2017,ethereum,10.88,0.122132,0.06376,0.9248,0.01144
32,XRP,1/4/2017,ripple,0.006472,-0.036356,0.01648,0.95048,0.03304
33,BCH,1/4/2017,bitcoin cash,0,0.10456,0.09096,0.85608,0.05296
34,ADA,1/4/2017,cardano,0,0.010848,0.03092,0.88676,0.04224
35,LTC,1/4/2017,litecoin,4.42,0.15286,0.07188,0.92812,0
36,XLM,1/4/2017,stellar,0.002753,0.268172,0.1214,0.86956,0.00908
37,NEO,1/4/2017,neo,0.1267,-0.060604,0.02164,0.94968,0.02868
38,EOS,1/4/2017,eos,0,0.141588,0.1162,0.87252,0.01128
39,XEM,1/4/2017,nem,0.003564,-0.0574,0.00784,0.95736,0.0348
40,BTC,1/5/2017,bitcoin,989.35,0.090964,0.08948,0.85336,0.05716
41,ETH,1/5/2017,ethereum,10.2,0.201064,0.14544,0.82008,0.03448
42,XRP,1/5/2017,ripple,0.006276,-0.046344,0.09364,0.83528,0.07108
43,BCH,1/5/2017,bitcoin cash,0,-0.095512,0.07732,0.80572,0.117
44,ADA,1/5/2017,cardano,0,0.066924,0.03568,0.94524,0.019
45,LTC,1/5/2017,litecoin,4.16,0.280356,0.13748,0.86252,0
46,XLM,1/5/2017,stellar,0.00254,0.216664,0.11808,0.85236,0.0296
47,NEO,1/5/2017,neo,0.1431,0.072524,0.05052,0.93964,0.00984
48,EOS,1/5/2017,eos,0,0.067988,0.0626,0.89992,0.03748
49,XEM,1/5/2017,nem,0.003511,0.009356,0.01424,0.97792,0.00784
50,BTC,1/6/2017,bitcoin,886.16,0.093692,0.09836,0.82124,0.0404
51,ETH,1/6/2017,ethereum,10.07,0.01932,0.04452,0.916,0.03948
52,XRP,1/6/2017,ripple,0.006222,0.0586,0.09388,0.8758,0.03036
53,BCH,1/6/2017,bitcoin cash,0,0.15432,0.1252,0.82708,0.04776
54,ADA,1/6/2017,cardano,0,0.056716,0.02908,0.95532,0.01552
55,LTC,1/6/2017,litecoin,3.76,0.08716,0.05056,0.94416,0.00528
56,XLM,1/6/2017,stellar,0.002409,0.175032,0.17432,0.74236,0.08328
57,NEO,1/6/2017,neo,0.1394,0.024996,0.02568,0.95128,0.023
58,EOS,1/6/2017,eos,0,-0.026208,0.04304,0.91924,0.03772
59,XEM,1/6/2017,nem,0.003266,-0.010384,0.017,0.96376,0.01924
60,BTC,1/7/2017,bitcoin,888.87,0.11014,0.08572,0.8794,0.03488
61,ETH,1/7/2017,ethereum,9.78,0.244884,0.12536,0.86084,0.01388
62,XRP,1/7/2017,ripple,0.006302,0.06494,0.09812,0.85152,0.05036
63,BCH,1/7/2017,bitcoin cash,0,-0.156224,0.05624,0.8044,0.1394
64,ADA,1/7/2017,cardano,0,0.031984,0.02204,0.957,0.02096
65,LTC,1/7/2017,litecoin,3.82,0.229088,0.12712,0.87288,0
66,XLM,1/7/2017,stellar,0.002334,0.196592,0.11224,0.86936,0.01844
67,NEO,1/7/2017,neo,0.1247,-0.0103,0.01172,0.96804,0.02024
68,EOS,1/7/2017,eos,0,0.0358,0.02212,0.96936,0.00852
69,XEM,1/7/2017,nem,0.003419,0.012728,0.01484,0.98136,0.0038
70,BTC,1/8/2017,bitcoin,900.86,0.014108,0.0312,0.93388,0.03492
71,ETH,1/8/2017,ethereum,10.27,0.322092,0.1592,0.823,0.01776
72,XRP,1/8/2017,ripple,0.006161,0.101612,0.0734,0.9074,0.01916
73,BCH,1/8/2017,bitcoin cash,0,0.004524,0.04048,0.92748,0.03208
74,ADA,1/8/2017,cardano,0,0.097712,0.06,0.90988,0.03
75,LTC,1/8/2017,litecoin,3.91,0.118964,0.06488,0.93512,0
