,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
220,BTC,5/1/2017,bitcoin,1415.81,0.120108,0.10812,0.83756,0.0544
221,ETH,5/1/2017,ethereum,77.53,0.101012,0.05804,0.92104,0.02092
222,XRP,5/1/2017,ripple,0.05383,0.097108,0.0672,0.91444,0.01836
223,BCH,5/1/2017,bitcoin cash,0,0.161428,0.09536,0.87552,0.02908
224,ADA,5/1/2017,cardano,0,0.027332,0.0256,0.95736,0.01704
225,LTC,5/1/2017,litecoin,15.74,0.123948,0.0666,0.92372,0.00968
226,XLM,5/1/2017,stellar,0.005,0.2829,0.14888,0.83216,0.01896
227,NEO,5/1/2017,neo,0.3398,0.006676,0.01528,0.97504,0.00964
228,EOS,5/1/2017,eos,0,-0.029756,0.01352,0.96724,0.01924
229,XEM,5/1/2017,nem,0.0527,-0.024164,0.01172,0.97108,0.0172
230,BTC,5/2/2017,bitcoin,1445.93,0.063656,0.09448,0.83972,0.0658
231,ETH,5/2/2017,ethereum,77.25,0.14312,0.08372,0.89132,0.02496
232,XRP,5/2/2017,ripple,0.05382,0.057768,0.04432,0.93344,0.02224
233,BCH,5/2/2017,bitcoin cash,0,0.180444,0.112,0.83428,0.05364
234,ADA,5/2/2017,cardano,0,0.106876,0.11468,0.86436,0.02096
235,LTC,5/2/2017,litecoin,15.57,0.159896,0.08376,0.91112,0.00512
236,XLM,5/2/2017,stellar,0.005054,0.12032,0.085,0.87504,0.04
237,NEO,5/2/2017,neo,0.3456,0.118964,0.0862,0.91068,0.00312
238,EOS,5/2/2017,eos,0,0.05382,0.0772,0.84308,0.03972
239,XEM,5/2/2017,nem,0.0518,0.013112,0.00808,0.9832,0.00872
240,BTC,5/3/2017,bitcoin,1485.55,0.061532,0.06792,0.90208,0.02996
241,ETH,5/3/2017,ethereum,80.37,0.021276,0.04276,0.92548,0.03176
242,XRP,5/3/2017,ripple,0.06108,0.081064,0.05704,0.93064,0.01228
243,BCH,5/3/2017,bitcoin cash,0,0.092524,0.0776,0.8764,0.04604
244,ADA,5/3/2017,cardano,0,0.032548,0.04992,0.94,0.01008
245,LTC,5/3/2017,litecoin,20.53,0.06072,0.0604,0.89596,0.04364
246,XLM,5/3/2017,stellar,0.005145,0.300492,0.14632,0.83308,0.0206
247,NEO,5/3/2017,neo,0.3464,0.000952,0.01172,0.96108,0.0272
248,EOS,5/3/2017,eos,0,0.056236,0.06576,0.88768,0.04656
249,XEM,5/3/2017,nem,0.0526,0.03454,0.02584,0.95896,0.0152
250,BTC,5/4/2017,bitcoin,1516.76,0.08378,0.12384,0.79612,0.08004
251,ETH,5/4/2017,ethereum,94.55,0.034524,0.02984,0.9488,0.02136
252,XRP,5/4/2017,ripple,0.08,0.05966,0.02944,0.97056,0
253,BCH,5/4/2017,bitcoin cash,0,0.172496,0.11132,0.86076,0.02788
254,ADA,5/4/2017,cardano,0,-0.015292,0.00528,0.97648,0.01824
255,LTC,5/4/2017,litecoin,22.95,0.144932,0.0836,0.91028,0.00612
256,XLM,5/4/2017,stellar,0.006769,0.2186,0.1388,0.85344,0.00776
257,NEO,5/4/2017,neo,0.4925,0.006832,0.02764,0.95796,0.0144
258,EOS,5/4/2017,eos,0,-0.05352,0.03556,0.91852,0.04592
259,XEM,5/4/2017,nem,0.06293,0.008828,0.01028,0.97996,0.00976
260,BTC,5/5/2017,bitcoin,1507.77,0.090276,0.10332,0.85188,0.0448
261,ETH,5/5/2017,ethereum,90.79,0.175592,0.09044,0.8954,0.01416
262,XRP,5/5/2017,ripple,0.09139,0.101864,0.05924,0.9232,0.01756
263,BCH,5/5/2017,bitcoin cash,0,0.241588,0.15788,0.80828,0.0338
264,ADA,5/5/2017,cardano,0,0.06672,0.05,0.92612,0.02388
265,LTC,5/5/2017,litecoin,25.2,0.102628,0.06688,0.91496,0.01816
266,XLM,5/5/2017,stellar,0.01065,0.241616,0.14856,0.81336,0.03808
267,NEO,5/5/2017,neo,0.5005,0.05758,0.04636,0.88752,0.02612
268,EOS,5/5/2017,eos,0,-0.068844,0.04608,0.9102,0.04372
269,XEM,5/5/2017,nem,0.07068,-0.039876,0.01068,0.95708,0.03224
270,BTC,5/6/2017,bitcoin,1545.29,0.031896,0.084,0.85528,0.06068
271,ETH,5/6/2017,ethereum,94.82,-0.001608,0.026,0.92736,0.0466
272,XRP,5/6/2017,ripple,0.1001,0.058844,0.03464,0.9538,0.01156
273,BCH,5/6/2017,bitcoin cash,0,0.216592,0.1118,0.85972,0.02848
274,ADA,5/6/2017,cardano,0,-0.073672,0.01648,0.93832,0.0452
275,LTC,5/6/2017,litecoin,27.46,0.226312,0.11228,0.88524,0.00248
276,XLM,5/6/2017,stellar,0.0209,0.183976,0.103,0.85932,0.03768
277,NEO,5/6/2017,neo,0.5849,0.042704,0.02556,0.96724,0.0072
278,EOS,5/6/2017,eos,0,0.0279,0.07212,0.88216,0.04576
279,XEM,5/6/2017,nem,0.07158,0.004932,0.0286,0.94832,0.02308
280,BTC,5/7/2017,bitcoin,1554.45,0.105896,0.12048,0.83528,0.04428
281,ETH,5/7/2017,ethereum,90.46,0.120508,0.09036,0.89056,0.01908
282,XRP,5/7/2017,ripple,0.1391,0.062768,0.03592,0.94256,0.02152
283,BCH,5/7/2017,bitcoin cash,0,0.20634,0.12708,0.822,0.05092
284,ADA,5/7/2017,cardano,0,0.039376,0.03644,0.93764,0.02588
285,LTC,5/7/2017,litecoin,29.5,0.02132,0.02912,0.9534,0.01748
286,XLM,5/7/2017,stellar,0.039,0.170416,0.11656,0.87332,0.01012
287,NEO,5/7/2017,neo,0.499,0.021828,0.02168,0.92204,0.01628
288,EOS,5/7/2017,eos,0,-0.06122,0.0282,0.92288,0.04892
289,XEM,5/7/2017,nem,0.0975,0.034532,0.03392,0.95032,0.01576
290,BTC,5/8/2017,bitcoin,1664.47,0.162108,0.10556,0.87472,0.01972
291,ETH,5/8/2017,ethereum,88.39,0.206476,0.12268,0.85416,0.02316
292,XRP,5/8/2017,ripple,0.1917,-0.008888,0.02028,0.95936,0.02036
293,BCH,5/8/2017,bitcoin cash,0,-0.004244,0.04064,0.91116,0.0482
294,ADA,5/8/2017,cardano,0,0.029328,0.0336,0.929,0.03736
295,LTC,5/8/2017,litecoin,28.1,0.2263,0.12616,0.8504,0.02344
296,XLM,5/8/2017,stellar,0.04068,0.238276,0.1218,0.87152,0.00668
297,NEO,5/8/2017,neo,0.4261,0.011632,0.0204,0.96172,0.01788
298,EOS,5/8/2017,eos,0,-0.019864,0.06396,0.89072,0.04532
299,XEM,5/8/2017,nem,0.1231,-0.009452,0.0094,0.9656,0.025
0,BTC,5/9/2017,bitcoin,1697.5,-0.007916,0.02524,0.955,0.01976
1,ETH,5/9/2017,ethereum,86.27,0.244064,0.14532,0.844,0.01068
2,XRP,5/9/2017,ripple,0.1564,0.056776,0.06856,0.89652,0.03492
3,BCH,5/9/2017,bitcoin cash,0,0.014308,0.05176,0.88972,0.05852
4,ADA,5/9/2017,cardano,0,0.002608,0.0154,0.97504,0.00956
5,LTC,5/9/2017,litecoin,31.77,0.003512,0.05764,0.89652,0.04584
6,XLM,5/9/2017,stellar,0.0275,0.21748,0.12468,0.8476,0.02772
7,NEO,5/9/2017,neo,0.4159,-0.03162,0.01428,0.96868,0.01704
8,EOS,5/9/2017,eos,0,0.026568,0.02352,0.959,0.01748
9,XEM,5/9/2017,nem,0.1115,-0.01856,0.01476,0.96044,0.0248
10,BTC,5/10/2017,bitcoin,1752.31,0.198312,0.08164,0.91448,0.00388
11,ETH,5/10/2017,ethereum,87.83,0.215028,0.12104,0.86428,0.01468
12,XRP,5/10/2017,ripple,0.187,-0.002052,0.06268,0.86928,0.06808
