,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
0,BTC,2018-01-01,bitcoin,13444.88,0.140736,0.08964,0.87804,0.0322
1,ETH,2018-01-01,ethereum,756.2,0.23534,0.10588000000000002,0.88388,0.01024
2,XRP,2018-01-01,ripple,2.05,0.41714399999999996,0.20968,0.77628,0.014079999999999999
3,BCH,2018-01-01,bitcoin cash,2319.12,0.078208,0.07496,0.8640799999999998,0.061000000000000006
4,ADA,2018-01-01,cardano,0.7022,0.215136,0.10431999999999998,0.87684,0.018799999999999997
5,LTC,2018-01-01,litecoin,224.34,0.05524799999999999,0.05852,0.91404,0.027399999999999997
6,XLM,2018-01-01,stellar,0.484,0.289116,0.19256,0.73564,0.031799999999999995
7,NEO,2018-01-01,neo,78.09,0.11478400000000001,0.05668,0.8850800000000001,0.01824
8,EOS,2018-01-01,eos,7.64,0.094384,0.0354,0.9538,0.01084
9,XEM,2018-01-01,nem,1.01,-0.06856400000000001,0.01332,0.9367599999999999,0.04992
10,BTC,2018-01-02,bitcoin,14754.13,0.130088,0.04936,0.9359200000000001,0.01472
11,ETH,2018-01-02,ethereum,861.97,0.26132,0.0902,0.89904,0.01068
12,XRP,2018-01-02,ripple,2.19,0.151636,0.07188,0.9218399999999999,0.00628
13,BCH,2018-01-02,bitcoin cash,2555.49,0.09679600000000001,0.07824,0.86492,0.05688
14,ADA,2018-01-02,cardano,0.762,0.171904,0.13304,0.81128,0.05551999999999999
15,LTC,2018-01-02,litecoin,251.81,0.101792,0.06876,0.89404,0.0372
16,XLM,2018-01-02,stellar,0.556,0.14067200000000002,0.10368000000000001,0.8645200000000002,0.03184
17,NEO,2018-01-02,neo,89.01,0.07786799999999999,0.03216,0.96276,0.00512
18,EOS,2018-01-02,eos,8.3,0.054032,0.054479999999999994,0.9233600000000002,0.022160000000000003
19,XEM,2018-01-02,nem,1.13,-0.01184,0.0,0.99216,0.00784
20,BTC,2018-01-03,bitcoin,15156.62,0.180132,0.09304,0.8739199999999999,0.032959999999999996
21,ETH,2018-01-03,ethereum,941.1,0.11626000000000002,0.05268,0.9274000000000001,0.01992
22,XRP,2018-01-03,ripple,2.73,0.141772,0.12668000000000001,0.8042400000000001,0.06903999999999999
23,BCH,2018-01-03,bitcoin cash,2557.52,0.24416800000000002,0.08776,0.8917599999999999,0.02048
24,ADA,2018-01-03,cardano,1.1,0.16784000000000002,0.09448000000000001,0.8612799999999998,0.044239999999999995
25,LTC,2018-01-03,litecoin,244.63,0.148976,0.07060000000000001,0.89696,0.032440000000000004
26,XLM,2018-01-03,stellar,0.8848,0.19235200000000002,0.12344,0.8206,0.055920000000000004
27,NEO,2018-01-03,neo,104.73,0.074608,0.041400000000000006,0.9389599999999999,0.01964
28,EOS,2018-01-03,eos,9.43,0.20853200000000002,0.0834,0.9111199999999999,0.0054800000000000005
29,XEM,2018-01-03,nem,1.75,-0.041544,0.0,0.9864400000000001,0.01356
30,BTC,2018-01-04,bitcoin,15180.08,-0.035399999999999994,0.08624000000000001,0.81524,0.09847999999999998
31,ETH,2018-01-04,ethereum,944.83,0.12660800000000003,0.07615999999999999,0.8767999999999999,0.047040000000000005
32,XRP,2018-01-04,ripple,2.73,0.06082400000000002,0.09940000000000002,0.83012,0.07048000000000001
33,BCH,2018-01-04,bitcoin cash,2355.78,0.06729600000000001,0.056639999999999996,0.89784,0.04548
34,ADA,2018-01-04,cardano,1.13,0.224864,0.07880000000000001,0.91524,0.00592
35,LTC,2018-01-04,litecoin,238.3,0.17848000000000003,0.07840000000000001,0.9097600000000001,0.011840000000000002
36,XLM,2018-01-04,stellar,0.695,0.19485599999999997,0.08312,0.8956399999999999,0.02128
37,NEO,2018-01-04,neo,97.93,0.09348000000000001,0.044199999999999996,0.9558,0.0
38,EOS,2018-01-04,eos,9.47,0.11962400000000001,0.08388,0.90176,0.01436
39,XEM,2018-01-04,nem,1.61,-0.011947999999999999,0.02032,0.95608,0.023600000000000003
40,BTC,2018-01-05,bitcoin,16954.78,0.072996,0.12888,0.8142,0.05688
41,ETH,2018-01-05,ethereum,967.13,0.225016,0.08392,0.90628,0.00972
42,XRP,2018-01-05,ripple,2.51,0.214876,0.09708,0.9014,0.0015199999999999999
43,BCH,2018-01-05,bitcoin cash,2390.04,0.05666,0.04628,0.91388,0.039799999999999995
44,ADA,2018-01-05,cardano,1.01,0.256492,0.10648000000000002,0.8854000000000001,0.00804
45,LTC,2018-01-05,litecoin,244.51,0.258488,0.09812,0.89276,0.00908
46,XLM,2018-01-05,stellar,0.64,0.352588,0.13612,0.8515999999999999,0.01228
47,NEO,2018-01-05,neo,94.67,0.146924,0.09012,0.88444,0.025439999999999997
48,EOS,2018-01-05,eos,9.29,0.22562400000000005,0.10600000000000001,0.8347200000000001,0.01928
49,XEM,2018-01-05,nem,1.56,-0.019571999999999996,0.01756,0.9568799999999998,0.025519999999999998
50,BTC,2018-01-06,bitcoin,17172.3,0.11958400000000001,0.07204,0.8775200000000001,0.0504
