,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
0,BTC,2017-08-10,bitcoin,3425.67,0.0072120000000000005,0.047080000000000004,0.9296799999999998,0.023239999999999997
1,ETH,2017-08-10,ethereum,298.28,0.07356399999999999,0.04876,0.9412400000000001,0.01
2,XRP,2017-08-10,ripple,0.1809,0.09127600000000001,0.07588,0.9071600000000001,0.017
3,BCH,2017-08-10,bitcoin cash,274.48,0.165,0.07764,0.9124,0.00996
4,ADA,2017-08-10,cardano,0.0,0.0,0.0041199999999999995,0.99024,0.005639999999999999
5,LTC,2017-08-10,litecoin,46.97,0.064536,0.08363999999999999,0.8844,0.031920000000000004
6,XLM,2017-08-10,stellar,0.02207,0.21198799999999998,0.12876,0.84512,0.02612
7,NEO,2017-08-10,neo,37.6,0.0019320000000000003,0.02008,0.9518000000000001,0.028159999999999998
8,EOS,2017-08-10,eos,1.84,0.03920799999999999,0.0366,0.9326399999999999,0.030759999999999996
9,XEM,2017-08-10,nem,0.293,0.03587200000000001,0.028159999999999998,0.9656399999999999,0.0062
10,BTC,2017-08-11,bitcoin,3654.37,0.030624,0.09580000000000002,0.83372,0.07048
11,ETH,2017-08-11,ethereum,309.32,0.001936,0.011439999999999999,0.97384,0.01472
12,XRP,2017-08-11,ripple,0.1778,0.077408,0.05268,0.93768,0.00964
13,BCH,2017-08-11,bitcoin cash,326.26,0.09931200000000001,0.11356,0.85584,0.030599999999999995
14,ADA,2017-08-11,cardano,0.0,0.092112,0.06116,0.9193600000000001,0.01948
15,LTC,2017-08-11,litecoin,47.11,0.08658400000000001,0.0466,0.9408,0.0126
16,XLM,2017-08-11,stellar,0.02166,0.15420799999999998,0.1042,0.8712399999999999,0.02456
17,NEO,2017-08-11,neo,34.1,0.11264800000000001,0.0406,0.9594,0.0
18,EOS,2017-08-11,eos,1.76,0.052852,0.05436,0.89296,0.0526
19,XEM,2017-08-11,nem,0.293,-0.031596,0.0,0.991,0.009000000000000001
20,BTC,2017-08-12,bitcoin,3871.62,0.033620000000000004,0.07384,0.8741599999999999,0.052000000000000005
21,ETH,2017-08-12,ethereum,308.02,-0.005019999999999989,0.06156,0.88768,0.050760000000000007
22,XRP,2017-08-12,ripple,0.1716,0.199128,0.09795999999999999,0.89036,0.011640000000000001
23,BCH,2017-08-12,bitcoin cash,316.0,0.07131599999999999,0.0834,0.86752,0.049
24,ADA,2017-08-12,cardano,0.0,0.060424000000000005,0.04016,0.9464400000000001,0.0134
25,LTC,2017-08-12,litecoin,46.27,0.118956,0.055600000000000004,0.93668,0.00772
26,XLM,2017-08-12,stellar,0.02005,0.10593999999999998,0.11876000000000002,0.8290799999999998,0.05212
27,NEO,2017-08-12,neo,37.72,0.13811199999999998,0.05943999999999999,0.9361999999999999,0.00436
28,EOS,2017-08-12,eos,1.65,0.06748399999999999,0.034080000000000006,0.9521999999999999,0.01376
29,XEM,2017-08-12,nem,0.2741,0.008708000000000002,0.02724,0.95148,0.02128
30,BTC,2017-08-13,bitcoin,4062.6,-0.024088000000000002,0.04644,0.8785200000000001,0.07500000000000001
31,ETH,2017-08-13,ethereum,296.62,0.07878,0.04832,0.9366800000000001,0.015
32,XRP,2017-08-13,ripple,0.1657,0.11093199999999999,0.07296,0.8957599999999999,0.031279999999999995
33,BCH,2017-08-13,bitcoin cash,295.15,0.237044,0.12527999999999997,0.84648,0.028200000000000003
34,ADA,2017-08-13,cardano,0.0,0.005212000000000001,0.01068,0.98552,0.0038
35,LTC,2017-08-13,litecoin,45.49,0.054484000000000005,0.05448,0.9226000000000001,0.022879999999999998
36,XLM,2017-08-13,stellar,0.01827,0.12437999999999999,0.12427999999999999,0.82352,0.052199999999999996
37,NEO,2017-08-13,neo,48.5,-0.003687999999999989,0.09876000000000001,0.7918799999999999,0.10936
38,EOS,2017-08-13,eos,1.59,0.14679999999999999,0.08348000000000001,0.90868,0.00784
39,XEM,2017-08-13,nem,0.2595,0.04278799999999999,0.02576,0.96756,0.00668
40,BTC,2017-08-14,bitcoin,4327.94,0.05776800000000001,0.03844,0.9545599999999999,0.006999999999999999
41,ETH,2017-08-14,ethereum,299.16,0.04146000000000001,0.04784000000000001,0.92328,0.02888
42,XRP,2017-08-14,ripple,0.1683,0.041092,0.02292,0.9743600000000001,0.00268
43,BCH,2017-08-14,bitcoin cash,300.03,-0.024156,0.03132,0.9294,0.03928
44,ADA,2017-08-14,cardano,0.0,0.024716000000000002,0.0144,0.9814799999999999,0.0041199999999999995
45,LTC,2017-08-14,litecoin,45.7,0.036624,0.08244,0.8868799999999999,0.03072
46,XLM,2017-08-14,stellar,0.01776,0.325268,0.15136,0.8486400000000001,0.0
47,NEO,2017-08-14,neo,48.32,0.092212,0.10739999999999998,0.8073199999999998,0.08556000000000001
48,EOS,2017-08-14,eos,1.61,0.017991999999999994,0.021959999999999997,0.95428,0.023760000000000003
49,XEM,2017-08-14,nem,0.2526,0.0,0.0,1.0,0.0
50,BTC,2017-08-15,bitcoin,4161.66,0.089156,0.06068,0.89628,0.04304
