,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
67,NEO,2/7/2017,neo,0.1322,0.098476,0.05668,0.93392,0.0094
68,EOS,2/7/2017,eos,0,-9.20E-05,0.03376,0.9386,0.02764
69,XEM,2/7/2017,nem,0.006687,0.000796,0.01704,0.97204,0.01088
70,BTC,2/8/2017,bitcoin,1055.49,-0.022256,0.06776,0.85504,0.07724
71,ETH,2/8/2017,ethereum,11.39,0.083248,0.09784,0.8356,0.06656
72,XRP,2/8/2017,ripple,0.00635,-0.019,0.02908,0.93072,0.0402
73,BCH,2/8/2017,bitcoin cash,0,0.112692,0.06788,0.90264,0.02952
74,ADA,2/8/2017,cardano,0,0.045436,0.03044,0.94324,0.02624
75,LTC,2/8/2017,litecoin,3.93,-0.003615385,0.028538462,0.939384615,0.032076923
76,XLM,2/8/2017,stellar,0.002218,0.364276,0.16608,0.82212,0.0118
77,NEO,2/8/2017,neo,0.1267,0.07676,0.048,0.952,0
78,EOS,2/8/2017,eos,0,0.051844,0.03892,0.9448,0.01628
79,XEM,2/8/2017,nem,0.006598,-0.026012,0.01204,0.97736,0.0106
80,BTC,2/9/2017,bitcoin,978.96,0.156832,0.09784,0.88044,0.02172
81,ETH,2/9/2017,ethereum,10.94,0.103244,0.07336,0.90352,0.02312
82,XRP,2/9/2017,ripple,0.00628,-0.014584,0.04044,0.91212,0.04744
83,BCH,2/9/2017,bitcoin cash,0,0.135772,0.06728,0.91428,0.01844
84,ADA,2/9/2017,cardano,0,0.059816,0.02176,0.97824,0
85,LTC,2/9/2017,litecoin,3.67,0.042304,0.07004,0.88544,0.04452
86,XLM,2/9/2017,stellar,0.002124,0.155236,0.11044,0.84664,0.04288
87,NEO,2/9/2017,neo,0.1246,0.022784,0.1184,0.79596,0.0856
88,EOS,2/9/2017,eos,0,0.002872,0.02544,0.9526,0.02196
89,XEM,2/9/2017,nem,0.006121,0.02096,0.0242,0.96796,0.00784
90,BTC,2/10/2017,bitcoin,997.61,0.024544,0.06592,0.879,0.05508
91,ETH,2/10/2017,ethereum,11.34,0.130952,0.1022,0.86792,0.02988
92,XRP,2/10/2017,ripple,0.00631,0.035556,0.0394,0.95596,0.00464
93,BCH,2/10/2017,bitcoin cash,0,0.037728,0.03856,0.92744,0.034
94,ADA,2/10/2017,cardano,0,0.045436,0.02888,0.95188,0.01916
95,LTC,2/10/2017,litecoin,3.76,0.124004,0.101,0.87228,0.02672
96,XLM,2/10/2017,stellar,0.002125,-0.10832,0.04204,0.86332,0.0946
97,NEO,2/10/2017,neo,0.1271,0.030496,0.0398,0.95476,0.00544
98,EOS,2/10/2017,eos,0,-0.220824,0.04964,0.81352,0.1368
99,XEM,2/10/2017,nem,0.006392,-0.0168,0.01776,0.96792,0.01432
100,BTC,2/11/2017,bitcoin,1008.32,0.077404,0.0906,0.87064,0.0388
101,ETH,2/11/2017,ethereum,11.43,0.057764,0.0388,0.95604,0.00516
102,XRP,2/11/2017,ripple,0.00635,0.047768,0.02028,0.9766,0.00316
103,BCH,2/11/2017,bitcoin cash,0,0.101616,0.04952,0.92728,0.0232
104,ADA,2/11/2017,cardano,0,0.01508,0.01496,0.97308,0.01192
105,LTC,2/11/2017,litecoin,3.81,0.034444,0.04484,0.93508,0.02008
106,XLM,2/11/2017,stellar,0.002107,0.050836,0.04084,0.93128,0.02788
107,NEO,2/11/2017,neo,0.1265,-0.007428,0.01036,0.98244,0.0072
108,EOS,2/11/2017,eos,0,-0.060912,0.04788,0.87892,0.0732
109,XEM,2/11/2017,nem,0.006857,0.029096,0.01848,0.98152,0
110,BTC,2/12/2017,bitcoin,996.52,0.005148,0.04084,0.91632,0.04284
111,ETH,2/12/2017,ethereum,11.42,0.11548,0.06996,0.91196,0.01808
112,XRP,2/12/2017,ripple,0.006248,0.065092,0.05284,0.93588,0.01128
113,BCH,2/12/2017,bitcoin cash,0,0.027828,0.04812,0.90624,0.04564
114,ADA,2/12/2017,cardano,0,-0.03806,0,0.98616,0.01384
115,LTC,2/12/2017,litecoin,3.73,0.048432,0.05852,0.90472,0.03676
116,XLM,2/12/2017,stellar,0.002073,-0.015688,0.08432,0.81676,0.09888
