,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
0,BTC,09/01/17,bitcoin,4921.85,0.057672,0.04396,0.9382,0.01784
1,ETH,09/01/17,ethereum,391.42,0.140472,0.10224,0.88124,0.01652
2,XRP,09/01/17,ripple,0.2529,0.16454,0.08632,0.8916,0.02208
3,BCH,09/01/17,bitcoin cash,628.73,0.129616,0.07228,0.91784,0.00988
4,ADA,09/01/17,cardano,0,0.048008,0.0318,0.9682,0
5,LTC,09/01/17,litecoin,87.88,0.189464,0.12612,0.83984,0.03404
6,XLM,09/01/17,stellar,0.02412,0.240848,0.14416,0.80424,0.05156
7,NEO,09/01/17,neo,31.8,-0.047876,0.03436,0.89872,0.06692
8,EOS,09/01/17,eos,1.32,0.012416,0.01024,0.97896,0.0108
9,XEM,09/01/17,nem,0.3249,0.018888,0.01676,0.96556,0.01768
10,BTC,09/02/17,bitcoin,4573.8,0.117712,0.083,0.89588,0.02112
11,ETH,09/02/17,ethereum,351.03,0.079224,0.04768,0.95232,0
12,XRP,09/02/17,ripple,0.2252,0.01558,0.05528,0.89488,0.04984
13,BCH,09/02/17,bitcoin cash,572.65,0.142384,0.07232,0.91608,0.0116
14,ADA,09/02/17,cardano,0,0.086232,0.06284,0.91404,0.02312
15,LTC,09/02/17,litecoin,79.18,0.138412,0.08656,0.88928,0.02416
16,XLM,09/02/17,stellar,0.0204,0.302956,0.14412,0.83756,0.01832
17,NEO,09/02/17,neo,31.35,-0.012016,0.04048,0.92056,0.03896
18,EOS,09/02/17,eos,1.24,0.09518,0.102,0.898,0
19,XEM,09/02/17,nem,0.2777,-0.06054,0,0.97468,0.02532
20,BTC,09/03/17,bitcoin,4612.92,0.125236,0.10244,0.85536,0.04224
21,ETH,09/03/17,ethereum,352.45,0.08006,0.09348,0.86836,0.0382
22,XRP,09/03/17,ripple,0.2303,0.109684,0.08116,0.8864,0.03244
23,BCH,09/03/17,bitcoin cash,609.85,0.125468,0.13992,0.78744,0.0726
24,ADA,09/03/17,cardano,0,0.058804,0.03644,0.9592,0.00436
25,LTC,09/03/17,litecoin,79.04,0.147468,0.09556,0.90444,0
26,XLM,09/03/17,stellar,0.02138,0.171844,0.11432,0.85952,0.02612
27,NEO,09/03/17,neo,30.81,0.021012,0.04316,0.92996,0.02688
28,EOS,09/03/17,eos,1.3,0.038224,0.01752,0.98248,0
29,XEM,09/03/17,nem,0.3011,-0.058956,0,0.97016,0.02984
30,BTC,09/04/17,bitcoin,4267.45,0.26804,0.13756,0.84588,0.0166
31,ETH,09/04/17,ethereum,303.7,0.211884,0.1264,0.85044,0.0232
32,XRP,09/04/17,ripple,0.2045,0.03272,0.07456,0.89564,0.0298
33,BCH,09/04/17,bitcoin cash,519.3,0.268668,0.16204,0.82036,0.0176
34,ADA,09/04/17,cardano,0,-0.076516,0.00852,0.92288,0.0686
35,LTC,09/04/17,litecoin,68.89,0.1715,0.10252,0.87616,0.02132
36,XLM,09/04/17,stellar,0.01762,0.072488,0.10884,0.82204,0.0692
37,NEO,09/04/17,neo,21.81,0.035352,0.06064,0.90004,0.03932
38,EOS,09/04/17,eos,0.9142,0.000308,0.0152,0.94792,0.03688
39,XEM,09/04/17,nem,0.2767,0.005056,0.01412,0.96552,0.02036
40,BTC,09/05/17,bitcoin,4409.08,0.00468,0.05944,0.88884,0.05168
41,ETH,09/05/17,ethereum,317.94,0.061084,0.11292,0.83044,0.05664
42,XRP,09/05/17,ripple,0.2168,0.10504,0.09744,0.83068,0.07188
43,BCH,09/05/17,bitcoin cash,546.74,0.057452,0.07756,0.87356,0.04888
44,ADA,09/05/17,cardano,0,0.027076,0.09308,0.86404,0.04288
45,LTC,09/05/17,litecoin,73.73,0.171204,0.099,0.88908,0.01192
46,XLM,09/05/17,stellar,0.01868,0.162116,0.10592,0.8622,0.03192
47,NEO,09/05/17,neo,23.4,0.030972,0.05092,0.9134,0.03572
48,EOS,09/05/17,eos,0.923,0.022556,0.04592,0.90964,0.04444
49,XEM,09/05/17,nem,0.2838,0.072448,0.02828,0.97172,0
50,BTC,09/06/17,bitcoin,4618.71,-0.04144,0.04472,0.90628,0.049
51,ETH,09/06/17,ethereum,338.92,-0.139796,0.09564,0.79284,0.11152
52,XRP,09/06/17,ripple,0.2314,0.17028,0.12496,0.83364,0.0414
53,BCH,09/06/17,bitcoin cash,647.64,0.214816,0.1178,0.85748,0.0248
54,ADA,09/06/17,cardano,0,0.086992,0.07152,0.91624,0.01224
55,LTC,09/06/17,litecoin,81.44,0.129868,0.089,0.89688,0.01412
56,XLM,09/06/17,stellar,0.02038,0.230096,0.11284,0.86916,0.01796
57,NEO,09/06/17,neo,21.3,-0.04534,0.09424,0.82788,0.07784
58,EOS,09/06/17,eos,0.9106,0.034976,0.05756,0.91104,0.0314
59,XEM,09/06/17,nem,0.3009,-0.080268,0,0.95936,0.04064
60,BTC,09/07/17,bitcoin,4635.6,0.136672,0.11836,0.8266,0.055
61,ETH,09/07/17,ethereum,335.37,0.0617,0.10048,0.8638,0.03572
62,XRP,09/07/17,ripple,0.2271,0.128904,0.06,0.94,0
